TimeofDay,AirTemp,Humidity,Dewpoint,BarPres,WindSpeed,SolarRad
2300,13.77,83.2,10.99,102.41,1.275,4.17
2315,13.89,83.6,11.17,102.4,1.262,4.17
2330,13.99,83.8,11.31,102.38,1.386,4.17
2345,14.09,83.8,11.4,102.36,1.548,4.17
2400,13.69,84.9,11.19,102.35,1.266,4.17
15,12.99,87.5,10.98,102.35,1.451,4.17
30,12.73,89.2,11.01,102.33,1.379,4.17
45,12.74,90,11.16,102.33,1.2,4.17
100,12.91,89.8,11.3,102.32,1.411,4.17
115,13.11,89.7,11.47,102.31,1.275,4.17
130,13.3,89.3,11.59,102.29,1.297,4.17
145,13.12,89.6,11.47,102.3,1.546,4.17
200,12.72,91.1,11.31,102.3,1.288,4.17
215,12.76,92.1,11.53,102.29,0.995,4.17
230,12.6,92.4,11.41,102.29,0.883,4.17
245,12.27,93.1,11.18,102.28,0.78,4.17
300,12.27,93.9,11.33,102.28,0.723,4.17
315,12.19,94.3,11.31,102.28,1.115,4.17
330,12.26,94.7,11.44,102.27,1.155,4.17
345,12.24,94.8,11.44,102.28,1.407,4.17
400,12.7,95.2,11.96,102.29,1.424,4.17
415,13.26,95.3,12.55,102.28,1.631,4.17
430,13.72,95.3,12.98,102.28,1.715,4.17
445,14.03,95.1,13.27,102.28,2.069,4.17
500,14.1,94.9,13.31,102.28,1.987,4.17
515,14.06,95,13.29,102.27,1.746,4.17
530,14.09,95.5,13.4,102.25,1.289,4.17
545,14.14,95.9,13.51,102.26,1.31,4.17
600,14.31,96.2,13.73,102.26,1.661,4.17
615,14.37,96.4,13.81,102.28,1.893,4.17
630,14.37,96.5,13.84,102.28,1.94,4.17
645,14.34,96.6,13.82,102.29,2.127,4.17
700,14.32,96.7,13.81,102.31,2.195,4.17
715,14.41,96.8,13.92,102.31,1.957,4.17
730,14.43,96.8,13.95,102.34,1.68,4.17
745,14.46,96.9,13.99,102.35,1.49,4.42
800,14.49,96.9,14.02,102.37,1.426,5.36
815,14.52,96.9,14.05,102.39,1.112,8.11
830,14.53,97,14.07,102.39,0.842,21.26
845,14.66,97,14.2,102.39,0.867,47.45
900,14.89,97,14.43,102.42,0.995,49.69
915,14.96,96.9,14.49,102.45,1.128,56.87
930,15.09,96.9,14.61,102.46,0.915,65.58
945,15.3,96.9,14.82,102.47,0.86,64.4
1000,15.37,96.7,14.86,102.5,1.237,67.35
1015,15.61,96.4,15.06,102.49,1.415,145.1
1030,15.93,95.5,15.22,102.5,1.774,125.3
1045,16.1,93.6,15.08,102.5,1.733,146.9
1100,16.52,91.1,15.08,102.49,1.814,250.3
1115,17.07,88.5,15.16,102.46,2.286,306.3
1130,17.58,85.6,15.15,102.45,2.259,271.8
1145,17.8,84.2,15.11,102.43,2.259,263.5
1200,18.22,81.5,15.01,102.4,2.879,339.8
1215,18.49,78.9,14.77,102.37,3.556,411.9
1230,18.9,76.1,14.61,102.35,3.419,443.8
1245,18.98,75.7,14.61,102.32,2.765,409.5
1300,19.57,73.1,14.64,102.31,3.499,550.6
1315,19.8,71.8,14.58,102.29,3.334,448
1330,20.06,70.1,14.45,102.27,3.022,426.9
1345,20.55,67.75,14.4,102.24,3.401,375.8
1400,20.19,68.55,14.24,102.24,3.566,225.7
1415,20.19,68.87,14.31,102.23,2.897,258.4
1430,20.07,69.42,14.31,102.21,2.96,189
1445,19.42,72.7,14.41,102.19,2.633,121.5
1500,19.03,74.7,14.45,102.19,3.371,155.9
1515,19.05,75.4,14.62,102.19,2.285,149
1530,18.99,75.5,14.58,102.17,2.841,134.1
1545,19.03,75.6,14.63,102.16,2.338,129.7
1600,19.04,75.6,14.66,102.16,2.523,144.4
1615,19.12,75.3,14.66,102.16,2.204,159.1
1630,19.29,74.6,14.68,102.16,2.426,109.6
1645,19.09,75.3,14.63,102.16,2.101,86.5
1700,19.05,75.3,14.59,102.15,2.097,67.51
1715,19.13,75.3,14.69,102.14,1.791,62.39
1730,18.95,75.9,14.61,102.14,2.041,31.93
1745,18.61,76.9,14.49,102.14,1.709,11.74
1800,18.3,78.3,14.48,102.13,1.603,4.53
1815,18.06,79.6,14.48,102.13,0.927,4.17
1830,17.66,81.4,14.44,102.12,1.265,4.17
1845,17.16,84,14.44,102.11,1.38,4.17
1900,17.29,84.6,14.68,102.12,1.285,4.17
1915,16.97,85.1,14.46,102.12,0.875,4.17
1930,16.64,87.3,14.54,102.12,1.05,4.17
1945,16.67,88.3,14.74,102.13,0.955,4.17
2000,16.62,88.6,14.74,102.14,1.23,4.17
2015,16.47,90,14.85,102.12,1.179,4.17
2030,16.44,90.8,14.95,102.14,1.1,4.17
2045,16.42,90.8,14.92,102.14,1.247,4.17
2100,16.22,91.1,14.77,102.13,1.32,4.17
2115,16.32,91.8,15,102.14,1.202,4.17
2130,16.48,90.8,14.99,102.14,1.498,4.17
2145,16.79,89.2,15.01,102.15,1.705,4.17
2200,16.87,88.4,14.96,102.16,1.633,4.17
2215,16.76,88.3,14.82,102.18,1.539,4.17
2230,16.58,88.7,14.72,102.18,1.685,4.17
2245,16.66,88.1,14.7,102.19,1.667,4.17
2300,16.61,87.9,14.61,102.19,1.839,4.17
2315,16.62,87.5,14.55,102.19,1.523,4.17
2330,16.53,87.8,14.52,102.18,1.578,4.17
2345,16.58,87.6,14.53,102.15,1.457,4.17
2400,16.49,87.9,14.48,102.13,1.433,4.17
15,16.37,88.3,14.45,102.13,1.385,4.17
30,16.08,89.4,14.34,102.11,1.02,4.17
45,16,90,14.36,102.12,1.595,4.17
100,15.81,90.3,14.24,102.12,1.713,4.17
115,15.78,90.1,14.17,102.09,1.385,4.17
130,15.63,90.2,14.04,102.08,1.326,4.17
145,15.42,90.1,13.82,102.08,1.399,4.17
200,15.14,91.5,13.77,102.07,0.911,4.17
215,15.13,92.1,13.87,102.08,0.89,4.17
230,15.03,92.4,13.82,102.09,0.661,4.17
245,14.89,92.9,13.77,102.1,0.748,4.17
300,14.86,93.2,13.77,102.07,0.939,4.17
315,14.99,91.9,13.71,102.06,1.174,4.17
330,14.99,91.3,13.6,102.04,1.266,4.17
345,14.91,91.4,13.54,102.05,1.543,4.17
400,14.94,91.4,13.57,102.07,1.834,4.17
415,15.15,90.9,13.69,102.05,1.54,4.17
430,15.04,91.3,13.65,102.03,1.266,4.17
445,15.06,91.3,13.66,102.04,1.749,4.17
500,15.5,90,13.87,102.05,2.129,4.17
515,15.99,87.4,13.91,102.05,2.416,4.17
530,16.01,87,13.86,102.03,2.175,4.17
545,15.95,87,13.8,102.02,2.134,4.17
600,15.85,87,13.71,102.01,1.947,4.17
615,15.87,86.2,13.58,102,2.035,4.17
630,15.88,85.1,13.39,102,2.211,4.17
645,15.86,83.9,13.16,101.99,1.773,4.17
700,15.88,82.9,12.98,102.01,2.004,4.17
715,15.66,83.4,12.88,102.02,1.582,4.17
730,15.72,81.8,12.62,102.02,1.506,4.17
745,15.67,81.5,12.53,102.03,1.344,4.75
800,15.71,80.7,12.42,102.01,1.357,9.05
815,15.73,80.1,12.33,102,1.48,24.69
830,15.84,78.4,12.11,102.02,1.853,23.66
845,15.68,80.1,12.26,102.06,1.698,32.51
900,15.86,79.2,12.27,102.08,1.244,73.1
915,16.17,77.8,12.29,102.12,1.477,87.9
930,16.57,74.8,12.1,102.13,2.211,124.7
945,16.83,73.6,12.1,102.15,2.289,117.1
1000,16.83,74.2,12.23,102.17,2.109,143.8
